"Design","Fold","Route","Model","TrainWeighting","EvalWeighting","RecordsUsed","SpeciesUsed","LogScoreRecordsUsed","LogScoreSpeciesUsed","PointSpeciesUsed","PISpeciesUsed","WeightSum","ELPD","MeanLogScore","AUC","Brier","MAE","RMSE","Bias","PointRecords","PICoverage","MeanPIWidth","PIRecords","Aggregation"
"fivefold",4,"joint_bb","M1","record_equal","species_equal",40,10,40,10,9,9,40,-54.8929961874808,-1.37232490468702,,,0.358994467765763,0.409638072490832,0.116842497239372,36,0.888888888888889,0.908734591206451,36,"full_metric_valid_set_weights; PI_matches_record_observation_model"
"fivefold",5,"joint_bb","M1","record_equal","record_equal",28,10,28,10,10,10,28,-32.2541549279512,-1.15193410456969,,,0.227810460491869,0.257531006482463,-0.0386344430744288,28,1,0.913271952046117,28,"full_metric_valid_set_weights; PI_matches_record_observation_model"
"fivefold",5,"joint_bb","M1","record_equal","species_equal",28,10,28,10,10,10,28,-30.7628195781478,-1.09867212779099,,,0.232171077297234,0.277977702980738,0.053674662302855,28,1,0.840588960361207,28,"full_metric_valid_set_weights; PI_matches_record_observation_model"
"fivefold",1,"joint_bb","M1","species_equal","record_equal",17,11,17,11,9,9,17,-17.4670677951217,-1.02747457618363,,,0.266436716140679,0.322855469811921,-0.0412349685265285,13,1,0.860273079575243,13,"full_metric_valid_set_weights; PI_matches_record_observation_model"
"fivefold",1,"joint_bb","M1","species_equal","species_equal",17,11,17,11,9,9,17,-18.3276704497896,-1.07809826175233,,,0.27666196508658,0.334323917364471,0.0486294481338605,13,1,0.863366387561133,13,"full_metric_valid_set_weights; PI_matches_record_observation_model"
"fivefold",2,"joint_bb","M1","species_equal","record_equal",45,10,45,10,10,10,45,-60.7523588065107,-1.35005241792246,,,0.313605937639083,0.354095344640417,-0.122256917097922,45,1,0.955103377200761,45,"full_metric_valid_set_weights; PI_matches_record_observation_model"
"fivefold",2,"joint_bb","M1","species_equal","species_equal",45,10,45,10,10,10,45,-89.4801264130825,-1.98844725362406,,,0.350914923167762,0.408969865470141,-0.115526364988752,45,1,0.927740956954125,45,"full_metric_valid_set_weights; PI_matches_record_observation_model"
"fivefold",3,"joint_bb","M1","species_equal","record_equal",23,10,23,10,10,10,23,-23.9957135854984,-1.04329189502167,,,0.347608011625716,0.421321845322309,0.0610627245315354,23,1,0.845042636957367,23,"full_metric_valid_set_weights; PI_matches_record_observation_model"
"fivefold",3,"joint_bb","M1","species_equal","species_equal",23,10,23,10,10,10,23,-28.0671223780962,-1.22030966861288,,,0.36368714144775,0.424649347322236,0.081122351826004,23,1,0.878307643291813,23,"full_metric_valid_set_weights; PI_matches_record_observation_model"
"fivefold",4,"joint_bb","M1","species_equal","record_equal",40,10,40,10,9,9,40,-56.7882572557952,-1.41970643139488,,,0.299379530608503,0.333385231676883,-0.0194641546936332,36,0.972222222222222,0.96078064680622,36,"full_metric_valid_set_weights; PI_matches_record_observation_model"
"fivefold",4,"joint_bb","M1","species_equal","species_equal",40,10,40,10,9,9,40,-54.9576678257585,-1.37394169564396,,,0.356830121632742,0.395467118153005,0.0749111952193136,36,0.888888888888889,0.922392449885052,36,"full_metric_valid_set_weights; PI_matches_record_observation_model"
