"Threshold","FPR","TPR","EvalWeighting","Design","Model","TrainWeighting","Fold","AUC"
0.684618793329781,0.833333333333333,0.944444444444444,"record_equal","fivefold","M3","record_equal",4,0.925925925925926
0.655297317823778,0.833333333333333,0.981481481481482,"record_equal","fivefold","M3","record_equal",4,0.925925925925926
0.560048196496655,1,0.981481481481482,"record_equal","fivefold","M3","record_equal",4,0.925925925925926
0.415443962632235,1,1,"record_equal","fivefold","M3","record_equal",4,0.925925925925926
Inf,0,0,"record_equal","fivefold","M3","record_equal",5,0.770833333333333
0.900168714927258,0,0.0625,"record_equal","fivefold","M3","record_equal",5,0.770833333333333
0.858817414284404,0,0.1875,"record_equal","fivefold","M3","record_equal",5,0.770833333333333
0.849739151089636,0.333333333333333,0.625,"record_equal","fivefold","M3","record_equal",5,0.770833333333333
0.828014577522079,0.333333333333333,0.6875,"record_equal","fivefold","M3","record_equal",5,0.770833333333333
0.635247403932563,0.333333333333333,0.875,"record_equal","fivefold","M3","record_equal",5,0.770833333333333
0.61712457321181,0.833333333333333,1,"record_equal","fivefold","M3","record_equal",5,0.770833333333333
0.312641608201619,1,1,"record_equal","fivefold","M3","record_equal",5,0.770833333333333
Inf,0,0,"record_equal","fivefold","M3","species_equal",1,0.633333333333333
0.867298914408587,0,0.0666666666666667,"record_equal","fivefold","M3","species_equal",1,0.633333333333333
0.852916872025348,0,0.133333333333333,"record_equal","fivefold","M3","species_equal",1,0.633333333333333
0.823313779642189,0.4,0.466666666666667,"record_equal","fivefold","M3","species_equal",1,0.633333333333333
0.773239299082621,0.4,0.533333333333333,"record_equal","fivefold","M3","species_equal",1,0.633333333333333
0.748046398446997,0.6,0.733333333333333,"record_equal","fivefold","M3","species_equal",1,0.633333333333333
0.662543161067892,0.6,0.933333333333333,"record_equal","fivefold","M3","species_equal",1,0.633333333333333
0.599283207279415,0.8,0.933333333333333,"record_equal","fivefold","M3","species_equal",1,0.633333333333333
0.545982242479109,0.8,1,"record_equal","fivefold","M3","species_equal",1,0.633333333333333
0.195069534327713,1,1,"record_equal","fivefold","M3","species_equal",1,0.633333333333333
Inf,0,0,"record_equal","fivefold","M3","species_equal",2,0.868055555555556
