id,a,b,lo,hi,Group,ReferenceLogP,ReferenceMethod,PrecisionDigits
grid_53,5,0.050000000000000003,0.050000000000000003,0.14999999999999999,inherited_266,-13.86473455264471182676620562550615799857036353334804017214736183787406060096477691469492701368514356,high_precision_lower_interval,100
grid_54,50,0.050000000000000003,0.050000000000000003,0.14999999999999999,inherited_266,-101.3906547394757780106252731322999786084743340245838637799330312924351891660096691388844301386414678,high_precision_lower_interval,100
grid_55,200,0.050000000000000003,0.050000000000000003,0.14999999999999999,inherited_266,-387.2728365270351845733472448115166248726976948699706617438798788648345444915952258483683018066686313,high_precision_lower_interval,100
grid_56,1000,0.050000000000000003,0.050000000000000003,0.14999999999999999,inherited_266,-1906.497029808613601814605301186306583201024815636051207936979266021020265351887969049430346828327076,high_precision_lower_interval,100
grid_57,0.050000000000000003,0.20000000000000001,0.050000000000000003,0.14999999999999999,inherited_266,-3.15559965258082128236821685155980922587440478093273469030882540056515499079258563692975215257470767,high_precision_lower_interval,100
grid_58,0.20000000000000001,0.20000000000000001,0.050000000000000003,0.14999999999999999,inherited_266,-2.566008778236847285085161072463600847163653427060074575991557123243657668069005693982191884114344073,high_precision_lower_interval,100
grid_59,1,0.20000000000000001,0.050000000000000003,0.14999999999999999,inherited_266,-3.826992908505022115999233163985762031159672197529145596581930823130839748969731579425489875015394433,closed_a1,100
grid_60,5,0.20000000000000001,0.050000000000000003,0.14999999999999999,inherited_266,-12.21011309290316170027546650384091037704893360817393799090702523173587595025887238245011089753224862,high_precision_lower_interval,100
grid_61,50,0.20000000000000001,0.050000000000000003,0.14999999999999999,inherited_266,-99.38402471450463414320222271685485734657189487264684098350952615463598136070823200459494777646424411,high_precision_lower_interval,100
grid_62,200,0.20000000000000001,0.050000000000000003,0.14999999999999999,inherited_266,-385.0578012636790332751275154374492135022355182129686183237340561202215812779519379049160522170177065,high_precision_lower_interval,100
grid_63,1000,0.20000000000000001,0.050000000000000003,0.14999999999999999,inherited_266,-1904.04045879658470165914560899994351410092097570967731589019008162490394789987432804020068999947289,high_precision_lower_interval,100
grid_64,0.050000000000000003,1,0.050000000000000003,0.14999999999999999,inherited_266,-3.023880031709350070614421668941628953995087196274333888888781950111171008261893330119944702939887685,closed_b1,100
grid_65,0.20000000000000001,1,0.050000000000000003,0.14999999999999999,inherited_266,-2.00266453773252882344368239475197787713086193398819945364904789581181082170887555976365883869476443,closed_b1,100
grid_66,1,1,0.050000000000000003,0.14999999999999999,inherited_266,-2.302585092994045767284718301571108206047376492465024353352751191935285924814181420720342309716280147,closed_a1,100
grid_67,5,1,0.050000000000000003,0.14999999999999999,inherited_266,-9.489723641613268756583710394543813975123794155874757539140195561397190638354017076979367175242149746,closed_b1,100
grid_68,50,1,0.050000000000000003,0.14999999999999999,inherited_266,-94.85599924429406695237062606255059092814102367758945011900832546167379290471434023369107675420840882,closed_b1,100
