"Case","Group","a","b","lo","hi","Reference","Stan","Audit","OldAudit","StanAbsError","AuditAbsError","OldAuditAbsError","StanAuditAbsDifference","Allowed","StanPass","AuditPass","PairPass"
"grid_82","inherited_266",50,50,0.05,0.15,-36.5445375765818,-36.5445375765818,-36.5445375765818,-36.5445375765818,7.105427357601e-15,0,0,7.105427357601e-15,3.65445375765818e-09,TRUE,TRUE,TRUE
"grid_83","inherited_266",200,50,0.05,0.15,-266.617462698811,-266.617462698811,-266.617462698811,-266.617462698811,0,0,0,0,2.66617462698811e-08,TRUE,TRUE,TRUE
"grid_84","inherited_266",1000,50,0.05,0.15,-1709.95520005525,-1709.95520005525,-1709.95520005525,-1709.95520005525,2.27373675443232e-13,2.27373675443232e-13,2.27373675443232e-13,4.54747350886464e-13,1.70995520005525e-07,TRUE,TRUE,TRUE
"grid_85","inherited_266",0.05,200,0.05,0.15,-15.4949246177777,-15.4949246177777,-15.4949246177777,-15.4949246177777,1.4210854715202e-14,3.5527136788005e-15,3.5527136788005e-15,1.06581410364015e-14,1.54949246177777e-09,TRUE,TRUE,TRUE
"grid_86","inherited_266",0.2,200,0.05,0.15,-13.6927604402633,-13.6927604402633,-13.6927604402633,-13.6927604402633,7.105427357601e-15,1.77635683940025e-15,1.77635683940025e-15,5.32907051820075e-15,1.36927604402633e-09,TRUE,TRUE,TRUE
"grid_87","inherited_266",1,200,0.05,0.15,-10.2586588777284,-10.2586588777284,-10.2586588777284,-10.2586588777284,7.105427357601e-15,1.77635683940025e-15,1.77635683940025e-15,5.32907051820075e-15,1.02586588777284e-09,TRUE,TRUE,TRUE
"grid_88","inherited_266",5,200,0.05,0.15,-3.76686375680512,-3.76686375680512,-3.76686375680512,-3.76686375680512,2.66453525910038e-15,2.66453525910038e-15,2.66453525910038e-15,0,3.76686375680512e-10,TRUE,TRUE,TRUE
"grid_89","inherited_266",50,200,0.05,0.15,-4.00375357243378,-4.00375357243378,-4.00375357243378,-4.00375357243378,4.44089209850063e-15,1.77635683940025e-15,1.77635683940025e-15,2.66453525910038e-15,4.00375357243378e-10,TRUE,TRUE,TRUE
"grid_90","inherited_266",200,200,0.05,0.15,-138.230104158001,-138.230104158001,-138.230104158001,-138.230104158001,2.8421709430404e-14,0,0,2.8421709430404e-14,1.38230104158001e-08,TRUE,TRUE,TRUE
"grid_91","inherited_266",1000,200,0.05,0.15,-1394.02122288973,-1394.02122288973,-1394.02122288973,-1394.02122288973,2.27373675443232e-13,0,0,2.27373675443232e-13,1.39402122288973e-07,TRUE,TRUE,TRUE
"grid_92","inherited_266",0.05,1000,0.05,0.15,-57.9961722814991,-57.9961722814992,-57.9961722814992,-57.9961722814992,4.2632564145606e-14,1.4210854715202e-14,1.4210854715202e-14,2.8421709430404e-14,5.79961722814992e-09,TRUE,TRUE,TRUE
"grid_93","inherited_266",0.2,1000,0.05,0.15,-55.9618578281072,-55.9618578281072,-55.9618578281072,-55.9618578281072,4.2632564145606e-14,1.4210854715202e-14,1.4210854715202e-14,2.8421709430404e-14,5.59618578281072e-09,TRUE,TRUE,TRUE
