"Case","Mode","Parameter","Stan","Reference","AbsError","ScaledError"
"grid_16","a_b","b",0.28393223493861,0.28393223493776,8.50708392619026e-13,8.50708392619026e-13
"grid_17","a_b","a",-4.34932739787764,-4.34932739787749,1.56319401867222e-13,3.59410519298932e-14
"grid_17","a_b","b",0.994481406857386,0.994481406854467,2.91877633173954e-12,2.91877633173954e-12
"grid_18","a_b","a",-4.6051471599069,-4.6051471599083,1.4033219031262e-12,3.04729003090998e-13
"grid_18","a_b","b",2.27496400062557,2.27496400062736,1.791899961745e-12,7.8766079869873e-13
"grid_19","a_b","a",-4.60517018598809,-4.60517018598499,3.09618997107464e-12,6.72329109681404e-13
"grid_19","a_b","b",4.48935302303917,4.48935302312492,8.57545146004668e-11,1.91017534506064e-11
"grid_20","a_b","a",-4.60517018598809,-4.60517018598499,3.09707814949434e-12,6.72521975174715e-13
"grid_20","a_b","b",5.86803086353685,5.86803086344882,8.80326922469976e-11,1.50020840543531e-11
"grid_21","a_b","a",-4.60517018598809,-4.60517018599035,2.25330865077922e-12,4.89299756528898e-13
"grid_21","a_b","b",7.4754306155143,7.47543061872117,3.20686943666715e-09,4.2898792059363e-10
"grid_22","a_b","a",16.2741624581359,16.2741624580335,1.02353681086242e-10,6.28933632376989e-12
"grid_22","a_b","b",0.007031333290554,0.00703133329023794,3.16062280514284e-13,3.16062280514284e-13
"grid_23","a_b","a",1.16353125905513,1.16353125905744,2.30304664228242e-12,1.97935949236817e-12
"grid_23","a_b","b",0.0390994100582568,0.0390994100583815,1.24754373498348e-13,1.24754373498348e-13
"grid_24","a_b","a",-3.07191499483559,-3.07191499483846,2.8705926524708e-12,9.34463569888514e-13
"grid_24","a_b","b",0.194508705543236,0.194508705543014,2.22821761042269e-13,2.22821761042269e-13
"grid_25","a_b","a",-4.06063533459372,-4.06063533459526,1.53210777398272e-12,3.77307403334072e-13
"grid_25","a_b","b",0.73727366967787,0.737273669680979,3.10840242434551e-12,3.10840242434551e-12
"grid_26","a_b","a",-4.52896067023691,-4.52896067023355,3.35642624804677e-12,7.41102979786681e-13
