"FPR","TPR","Design","Model"
0.555555555555556,0.344827586206897,"species5","M1"
0.555555555555556,0.353448275862069,"species5","M1"
0.555555555555556,0.362068965517241,"species5","M1"
0.555555555555556,0.370689655172414,"species5","M1"
0.555555555555556,0.379310344827586,"species5","M1"
0.555555555555556,0.387931034482759,"species5","M1"
0.555555555555556,0.396551724137931,"species5","M1"
0.555555555555556,0.405172413793103,"species5","M1"
0.555555555555556,0.413793103448276,"species5","M1"
0.555555555555556,0.422413793103448,"species5","M1"
0.555555555555556,0.431034482758621,"species5","M1"
0.555555555555556,0.439655172413793,"species5","M1"
0.555555555555556,0.448275862068966,"species5","M1"
0.555555555555556,0.456896551724138,"species5","M1"
0.555555555555556,0.46551724137931,"species5","M1"
0.555555555555556,0.474137931034483,"species5","M1"
0.555555555555556,0.482758620689655,"species5","M1"
0.555555555555556,0.491379310344828,"species5","M1"
0.555555555555556,0.5,"species5","M1"
0.555555555555556,0.508620689655172,"species5","M1"
0.555555555555556,0.517241379310345,"species5","M1"
0.555555555555556,0.525862068965517,"species5","M1"
0.555555555555556,0.53448275862069,"species5","M1"
0.555555555555556,0.543103448275862,"species5","M1"
0.555555555555556,0.551724137931034,"species5","M1"
0.555555555555556,0.560344827586207,"species5","M1"
0.555555555555556,0.568965517241379,"species5","M1"
0.555555555555556,0.577586206896552,"species5","M1"
0.555555555555556,0.586206896551724,"species5","M1"
0.555555555555556,0.594827586206897,"species5","M1"
0.555555555555556,0.603448275862069,"species5","M1"
0.555555555555556,0.612068965517241,"species5","M1"
0.555555555555556,0.620689655172414,"species5","M1"
0.555555555555556,0.629310344827586,"species5","M1"
0.555555555555556,0.637931034482759,"species5","M1"
0.555555555555556,0.646551724137931,"species5","M1"
0.555555555555556,0.655172413793103,"species5","M1"
0.555555555555556,0.663793103448276,"species5","M1"
0.555555555555556,0.672413793103448,"species5","M1"
0.555555555555556,0.681034482758621,"species5","M1"
0.555555555555556,0.689655172413793,"species5","M1"
0.555555555555556,0.698275862068966,"species5","M1"
0.555555555555556,0.706896551724138,"species5","M1"
0.555555555555556,0.71551724137931,"species5","M1"
0.555555555555556,0.724137931034483,"species5","M1"
0.555555555555556,0.732758620689655,"species5","M1"
0.555555555555556,0.741379310344828,"species5","M1"
0.555555555555556,0.75,"species5","M1"
0.555555555555556,0.758620689655172,"species5","M1"
0.555555555555556,0.767241379310345,"species5","M1"
0.555555555555556,0.775862068965517,"species5","M1"
0.583333333333333,0.775862068965517,"species5","M1"
0.583333333333333,0.78448275862069,"species5","M1"
0.583333333333333,0.793103448275862,"species5","M1"
0.583333333333333,0.801724137931034,"species5","M1"
0.583333333333333,0.810344827586207,"species5","M1"
0.611111111111111,0.810344827586207,"species5","M1"
0.638888888888889,0.810344827586207,"species5","M1"
0.638888888888889,0.818965517241379,"species5","M1"
